,Numpy Array no BE,Numpy Array BE,Torch Tensor no BE,Torch Tensor BE,Torch Tensor GPU no BE,Torch Tensor GPU BE
add_band_noise,,12.683464657515287,,1.9375724727287889,,0.3644658047705889
add_eeg_artifact,15.919340289197862,15.475980247370899,18.084918590262532,8.774911595508456,10.680491594597697,0.5442528845742345
add_gaussian_noise,,71.04062628932297,,35.011875729076564,,0.07071956153959036
add_noise_SNR,,73.8854307718575,,37.64778060372919,,12.803896361030638
change_ref,,9.273256519809365,,19.219508921727538,,4.698239802382886
channel_dropout,7.088237315416336,3.348068093881011,17.496242636814713,0.5531537905335426,4.6412657937034965,0.06793706305325031
crop_and_resize,107.00998647324741,168.65701461862773,383.80653088726103,39.49100451823324,101.63478635903448,1.962239345535636
filter_bandpass,,45.50764964334667,,152.94264073763043,,2.9582033222541213
filter_bandstop,,44.845745482482016,,145.33897778298706,,1.608458423987031
filter_highpass,,37.997497748583555,,138.71684326790273,,1.1115937577560544
filter_lowpass,,46.904438538476825,,129.53218055609614,,1.201936817727983
flip_horizontal,,0.0018146727234125137,,0.023218637332320213,,0.009426970034837723
flip_vertical,,3.3653689613565803,,0.025393596850335598,,0.008693372830748558
masking,8.351729959249496,5.401182125322521,10.081438167020679,1.9604026200249791,4.046475914306939,0.05191785003989935
moving_avg,,27.874576395377517,,63.69746324699372,,0.15824944339692593
permutation_signal,12.659091288223863,26.51213189586997,26.08147291932255,1.1414739051833749,5.5677090007811785,0.07013320829719305
permute_channels_network,43.50118824560195,8.773427788168192,166.10135567001998,2.974851111881435,43.66938316076994,0.6647974560037255
permute_channels,9.332423039712012,8.783952502533793,34.4811232117936,3.2817837204784155,10.940687504597008,0.15529456175863743
random_FT_phase,38.54426374472678,47.19803645182401,90.38117585889995,8.599700069054961,12.139617369510233,0.2582742003723979
random_slope_scale,44.880009615793824,20.625416637398303,39.141109311021864,1.667090612463653,0.19796890392899513,0.09318123385310173
scaling,5.069442653097212,5.061666578985751,0.4061941262334585,0.41580748558044434,0.02233150787651539,0.05405097547918558
shift_frequency,47.3368937689811,69.52789301145822,97.96175611764193,12.574184968136251,6.523466225713491,0.2909739715978503
shift_horizontal,7.665743426419795,7.3564243000000715,10.154253432527184,0.6827773712575436,2.694342313334346,0.035021417774260044
shift_vertical,,6.996130005456507,,0.057990497909486294,,0.07085594069212675
warp_signal,247.15335492789745,410.7101323986426,947.21491935011,86.17811584100127,221.64730475377291,4.44210946932435
